itemNo,brand,layers,packageRolls,rollSheets,sheetWidth,sheetLength,sheetLength_c,rollLength,rollLength_c,packagePrice,rollPrice,rollPrice_c,paperWeight,paperWeight_c,packageWeight,packageWeight_c,rollWeight,rollWeight_c,kiloPrice,kiloPrice_c,meterPrice,meterPrice_c,sheetPrice,sheetPrice_c,supplier,comments
70225        ,Budget                        ,2     ,10          ,0         ,0         ,0          ,0            ,0         ,0           ,11.5        ,1.15            ,1          ,1          ,0            ,1            ,0              ,100               ,1           ,11.5     ,0          ,0          ,0           ,0          ,0           ,Bilka            ,Togo
?            ,Coop Luxury                   ,4     ,6           ,0         ,0         ,0          ,0            ,0         ,0           ,21.95       ,3.583335        ,1          ,0          ,0            ,0.804        ,0              ,134               ,1           ,27.3     ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
?            ,Irmas Blødt Toiletpapir       ,5     ,6           ,0         ,0         ,0          ,0            ,0         ,0           ,34          ,5.66666666666667,1          ,0          ,0            ,0.733        ,0              ,122.166666666667  ,1           ,46.38    ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
?            ,Irmas Toiletpapir             ,3     ,8           ,0         ,0         ,0          ,0            ,0         ,0           ,22          ,2.75            ,1          ,0          ,0            ,0.771        ,0              ,0.096375          ,1           ,28.53    ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
?            ,Irmas Toiletpapir Ny Kvalitet ,3     ,6           ,0         ,0         ,0          ,0            ,0         ,0           ,36          ,6               ,1          ,0          ,0            ,0.835        ,0              ,0.139166666666667 ,1           ,43.11    ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
171267       ,Kompakt                       ,4     ,8           ,0         ,0         ,0          ,0            ,0         ,0           ,20          ,2.5             ,1          ,0          ,0            ,0.976        ,0              ,0.122             ,1           ,20.49    ,0          ,0          ,0           ,0          ,0           ,Rema Vejby       ,
75532        ,Kæmpekøb Luksus               ,2     ,24          ,0         ,0         ,0          ,0            ,0         ,0           ,50          ,2.08333333333333,1          ,0          ,0            ,3            ,0              ,0.125             ,1           ,16.66    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
75111        ,Lambi Classic 12              ,3     ,12          ,0         ,0         ,0          ,0            ,0         ,0           ,39.95       ,3.32916666666667,1          ,0          ,0            ,1.16         ,0              ,0.0966666666666667,1           ,34.44    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
75533        ,Lambi Decorated               ,3     ,18          ,0         ,0         ,0          ,0            ,0         ,0           ,69.95       ,3.88611111111111,1          ,0          ,0            ,1.75         ,0              ,0.0972222222222222,1           ,39.97    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
75534        ,Lambi Extra Long              ,3     ,9           ,0         ,0         ,0          ,0            ,0         ,0           ,35          ,3.88888888888889,1          ,0          ,0            ,1.31         ,0              ,0.145555555555556 ,1           ,26.71    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
24951        ,Lambi Sensitive               ,4     ,6           ,0         ,0         ,0          ,0            ,0         ,0           ,34.95       ,5.825           ,1          ,0          ,0            ,0.731        ,0              ,0.121833333333333 ,1           ,47.81    ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
70405        ,Levevis                       ,3     ,8           ,0         ,0         ,0          ,0            ,0         ,0           ,30          ,3.75            ,1          ,0          ,0            ,1085         ,0              ,135.625           ,1           ,27.64    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
64865        ,Lotus Comfort 16              ,3     ,16          ,0         ,0         ,0          ,0            ,0         ,0           ,69.95       ,4.371875        ,1          ,0          ,0            ,1613         ,0              ,100.8125          ,1           ,43.37    ,0          ,0          ,0           ,0          ,0           ,Kvickly Helsinge ,
73051        ,Lotus Just1                   ,5     ,12          ,0         ,0         ,0          ,0            ,0         ,0           ,59.95       ,4.99583333333333,1          ,0          ,0            ,1.26         ,0              ,0.105             ,1           ,47.57    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
75535        ,Lotus Royal                   ,3     ,12          ,0         ,0         ,0          ,0            ,0         ,0           ,46.95       ,39.125          ,1          ,0          ,0            ,1.14         ,0              ,0.095             ,1           ,41.18    ,0          ,0          ,0           ,0          ,0           ,Bilka            ,
